"X","Y","Z","Intensity","ReturnNumber","NumberOfReturns","Classification","R","G","B","NIR"
460756.77,5262501.2,22.42,29631,3,4,0,16962,17990,20817,15031
460755.39,5262507.81,38.6,29048,2,3,0,13107,13878,17733,14767
460755.13,5262509.08,42.13,28134,1,3,0,18761,17476,18504,23882
460755.26,5262508.45,40.7,30244,2,3,0,21588,20817,22616,23055
460756.65,5262501.67,27.61,28576,2,3,0,12593,12850,18247,0
460756.79,5262500.94,27.83,29271,2,3,0,15677,15934,18504,0
460755.56,5262506.91,40.74,29343,1,3,0,25957,24929,25700,0
460755.6,5262506.66,41.13,30604,1,2,0,27499,26471,26214,0
460751.69,5262529.57,0,29703,3,3,2,30069,27499,27242,32404
460751.76,5262529.16,0,31460,2,2,2,21331,19275,18761,25961
460751.9,5262528.46,0,30680,2,2,2,23901,21845,22359,26852
460752.07,5262527.54,0.65,28150,3,3,0,17476,16191,21845,17658
460752.31,5262526.32,0,30434,4,4,2,12850,14135,20046,11022
460752.07,5262527.49,3.3,28396,3,4,0,11565,12593,19018,8288
460752.05,5262527.52,5.25,29149,3,4,0,14392,14649,20560,14701
460752.06,5262527.45,6.05,29182,2,3,0,11822,12850,19789,9144
460752.68,5262524.38,0,31709,1,1,2,30840,29555,28527,31073
460752.99,5262522.8,0,31781,1,1,2,30583,28527,27756,28911
460753.13,5262522.11,0.12,31604,1,1,0,21588,19275,20560,22991
460753.2,5262521.72,0.13,32004,1,1,0,21588,20303,23901,11656
460753.35,5262520.93,0.92,31673,1,1,0,28270,26214,25443,26752
460753.59,5262519.69,0.14,31908,1,1,0,35723,33410,31354,28913
460753.8,5262518.6,0.21,29615,2,2,0,32382,29812,29298,21873
460753.7,5262519.07,2,29330,2,3,0,29041,27242,28784,21078
460753.92,5262517.97,0.32,28311,2,3,0,28270,27756,28527,19113
460753.14,5262521.68,12.43,28304,2,3,0,23644,23130,24158,29061
460754.18,5262516.66,0.1,30709,3,3,0,22102,21331,25700,22633
460751.61,5262529.02,32.81,29752,2,2,0,34952,32382,32639,23162
460752.95,5262522.5,17.86,27616,3,3,0,30326,28784,28784,26135
460751.56,5262529.16,35.69,27996,3,4,0,34952,32896,32125,26893
460751.73,5262528.35,33.47,28173,4,4,0,32125,29812,29298,27422
460751.55,5262529.22,36.64,28111,1,3,0,30583,28527,28013,32130
460754.73,5262513.82,0,29104,3,3,2,21074,19789,21331,20945
460751.64,5262528.77,35.22,27760,2,3,0,29555,27499,26985,30888
460753.1,5262521.66,19.45,28242,4,4,0,29298,27756,27756,29073
460751.36,5262530.12,39.49,28209,2,4,0,30840,28527,28784,26064
460751.73,5262528.31,35.03,28973,3,4,0,30069,27756,28013,29409
460753.2,5262521.15,20.14,27813,4,4,0,26214,24929,25957,27773
460751.28,5262530.41,42.15,29956,1,4,0,29555,26985,28013,20709
460752.05,5262526.73,32.76,29408,3,4,0,34181,32125,31611,20157
460753.25,5262520.88,20.42,28606,4,5,0,24672,23387,25186,29327
460754.96,5262512.61,1.06,29887,5,5,0,37522,35980,37522,13286
460752.09,5262526.48,33.17,28242,3,5,0,32896,30326,29812,25871
460754.95,5262512.6,1.92,28517,2,2,0,44204,42662,39578,12305
460751.47,5262529.46,41.45,30031,1,2,0,28784,27242,27242,27681
460751.99,5262526.95,35.74,29153,2,3,0,34695,32382,30583,17703
460752.29,5262525.45,34.21,27986,2,3,0,28527,26214,26471,27028
460751.66,5262528.48,41.63,28402,1,3,0,16191,15420,17476,19395
460755.36,5262510.57,0.03,31502,3,3,0,41634,39064,39321,15317
460751.72,5262528.16,41.72,28144,1,2,0,15677,15420,19532,10609
460751.86,5262527.42,42.82,29146,1,2,0,30069,30069,30326,19231
460751.92,5262527.09,42.31,30155,1,2,0,25957,25443,26471,23460
460755.97,5262507.41,0.04,31738,1,1,0,31611,28527,29041,22119
460753.2,5262520.73,34.96,31109,1,2,0,25700,25700,25443,11612
460753.28,5262520.32,33.92,29592,2,3,0,31354,30326,29298,19456
460752.97,5262521.81,38.08,30290,1,3,0,27242,26985,28527,27370
460753.48,5262519.29,33.33,29648,2,3,0,23644,23901,24929,16767
460753.2,5262520.66,37.48,29670,1,3,0,25443,24929,25700,19433
460753.27,5262520.26,36.45,28992,1,2,0,26214,25186,24929,26840
460753.41,5262519.55,37.73,30791,1,2,0,30583,29298,27756,21957
460754.41,5262514.68,26.67,28288,2,2,0,13878,15420,19532,13772
460753.43,5262519.41,38.18,30781,1,1,0,24415,23130,24415,27075
460757.05,5262501.85,0,29690,2,2,2,13107,13621,19275,8321
460754.54,5262514.03,26.88,30621,1,2,0,12079,13364,18247,13865
460757.2,5262501.07,0.24,29752,3,3,0,12850,13364,19275,9571
460754.84,5262512.52,25.59,30241,2,3,0,23130,22873,24158,19090
460753.71,5262517.97,37.31,29811,1,3,0,30583,28784,27756,24079
460757.1,5262501.51,1.92,29454,4,5,0,14135,15163,20303,11008
460757.22,5262500.93,0.66,29490,5,5,0,12850,13878,19275,9971
460754.9,5262512.17,25.59,28638,3,5,0,16962,16448,19275,21221
460753.82,5262517.39,37.76,29303,2,4,0,21331,20303,24415,23156
460755.06,5262511.39,24.92,28330,3,4,0,19018,19532,23387,12740
460753.6,5262518.44,41.02,29982,1,4,0,33153,31611,31611,24293
460755.16,5262510.86,24.65,28537,3,4,0,19018,18504,19789,20304
